"id","address","city","state","zip","retailer_id","lat","long"
34135,"14605 W 64Th Ave","Arvada","CO",80004,4,39.8141,-105.163
137972,"12580 West 64th. Avenue","Arvada","CO",80004,75,39.8141,-105.118
227768,"14715 W 64th Ave","Arvada","CO",80004,115,39.8146,-105.164
71511,"6510 Wadsworth Blvd","Arvada","CO",80003,35,39.815,-105.081
38558,"6603 WADSWORTH BLVD","Arvada","CO",80003,5,39.8167,-105.082
24015,"6725 N WADSWORTH","ARVADA","CO",80003,28,39.819,-105.082
55701,"7080 TOWER RD","DENVER","CO",80249,28,39.8253,-104.772
140620,"5101 Quebec St","Denver","CO",80022,75,39.8259,-104.911
68501,"7067 Pecos St","Denver","CO",80221,35,39.826,-105.006
53322,"6302 E. 72ND AVE.","COMMERCE CITY","CO",80022,28,39.8271,-104.916
24085,"7201 LOWELL BLVD","WESTMINSTER","CO",80030,28,39.8275,-105.035
228134,"7211 Sheridan Blvd","Westminster","CO",80003,115,39.8276,-105.053
71094,"6071 E 72nd Ave","Commerce City","CO",80022,35,39.8276,-104.918
4655,"7211 FEDERAL BLVD","Westminster","CO",80030,5,39.8277,-105.026
53192,"7211 PECOS ST","DENVER","CO",80221,28,39.8277,-105.007
192421,"7260 Broadway","Denver","CO",80221,106,39.8282,-104.987
136983,"5255 West 80th Avenue","Arvada","CO",80003,75,39.8286,-105.065
51518,"7270 BROADWAY","DENVER","CO",80221,28,39.8288,-104.987
55256,"5241 72ND AVE","WESTMINSTER","CO",80003,28,39.8289,-105.053
186749,"7312 Federal Blvd","Westminster","CO",80030,106,39.8292,-105.024
33257,"7353 Federal Blvd","Westminster","CO",80030,2,39.83,-105.025
66637,"7400 Hwy 2","Commerce City","CO",80022,34,39.8315,-104.91
51520,"7540 PECOS ST.","DENVER","CO",80221,28,39.8335,-105.006
210991,"7680 Pena Blvd","Adams","CO",80022,106,39.8343,-104.692
167985,"7739 Wadsworth Boulevard","Arvada","CO",80003,97,39.8375,-105.083
134244,"7255 North Pecos Street","Denver","CO",80221,75,39.838,-104.999
134424,"4875 North Federal Blvd.","Denver","CO",80221,75,39.838,-104.999
685,"7155 Sheridan Blvd","Westminster","CO",80003,4,39.8397,-105.053
1866,"7899 Wadsworth Blvd","Arvada","CO",80003,3,39.8401,-105.085
40196,"7930 WADSWORTH BLVD","Arvada","CO",80003,5,39.8403,-105.081
3787,"7561 W. 80th Ave.","Arvada","CO",80003,2,39.8419,-105.081
52420,"8002 CHASE DR","ARVADA","CO",80003,28,39.8421,-105.057
135957,"7613 West 88th Avenue","Westminster","CO",80005,75,39.8422,-105.11
192425,"8050 Kipling Street","Arvada","CO",80005,106,39.8429,-105.11
225348,"8031 Wadsworth Blvd.","Arvada","CO",80003,105,39.843,-105.082
8870,"8031 Wadsworth Blvd","Arvada","CO",80003,1,39.8433,-105.083
186203,"8025 Sheridan Blvd.","Arvada","CO",80003,106,39.8435,-105.054
13593,"8055 Sheridan Blvd","Arvada","CO",80003,1,39.8438,-105.053
216883,"8071 Wadsworth Blvd","Arvada","CO",80003,108,39.844,-105.082
64379,"8175 Sheridan Blvd Unit M","Arvada","CO",80003,34,39.8448,-105.053
227083,"8400 Pena Blvd Concourse A","Denver","CO",80249,115,39.8469,-104.669
227084,"8400 Pena Blvd Concourse B","Denver","CO",80249,115,39.8469,-104.669
74817,"1575 W 84th Ave","Federal Heights","CO",80260,1,39.8491,-105.006
187577,"1509 W 84th Ave","Federal Heights","CO",80221,106,39.8491,-105.003
36623,"1601 W 84TH AVE","Federal Heights","CO",80260,5,39.8493,-105.007
54113,"8378 SHERIDAN BLVD","WESTMINSTER","CO",80003,28,39.8496,-105.053
227883,"8426 Pearl St","Thornton","CO",80229,115,39.8497,-104.979
70450,"8495 Pecos St","Federal Heights","CO",80260,35,39.8511,-105.007
198825,"8501 Grant St","Thornton","CO",80229,106,39.8518,-104.984
185822,"8650 N Washington St","Thornton","CO",80229,106,39.8535,-104.977
188652,"8700 Wadsworth Blvd #A","Arvada","CO",80003,106,39.8549,-105.081
34134,"850 E 88Th Ave","Thornton","CO",80229,4,39.8551,-104.975
147587,"5600 WEST 88TH AVENUE","WESTMINSTER","CO",80031,80,39.8552,-105.057
